class	entity_count
MixedMartialArtsEvent	1020
Bacteria	1007
BiologicalDatabase	989
FilmFestival	979
Cave	961
HorseRider	913
RollerCoaster	878
Theatre	860
Earthquake	847
BusinessPerson	829
SportCompetitionResult	822
Senator	816
Baronet	810
GolfCourse	809
Volcano	809
BritishRoyalty	806
Engineer	791
FormulaOneRacer	791
OlympicResult	788
FashionDesigner	787
BaseballLeague	787
Glacier	784
Historian	751
Conifer	748
Currency	746
Canal	736
CricketTeam	727
ScreenWriter	727
Bone	691
PokerPlayer	688
BasketballLeague	680
Monument	678
Astronaut	653
WineRegion	647
Ambassador	639
Brain	632
Garden	612
Cheese	601
DartsPlayer	587
Chef	584
RugbyLeague	584
Winery	569
Jockey	556
MusicFestival	547
Skater	545
VoiceActor	543
Presenter	532
TableTennisPlayer	524
LawFirm	514
Medician	501
Rocket	501
FloweringPlant	499
AustralianFootballTeam	492
Moss	486
CyclingTeam	482
LacrossePlayer	482
SumoWrestler	473
Bodybuilder	472
SnookerPlayer	465
Photographer	459
Canoeist	458
RoadJunction	448
AmateurBoxer	448
Entomologist	437
Artery	428
SquashPlayer	422
Nerve	415
Racecourse	410
Pope	407
HandballTeam	393
GreenAlga	391
SolarEclipse	380
Database	363
RadioHost	359
Muscle	347
HorseTrainer	330
ClassicalMusicArtist	322
RoadTunnel	314
Poet	308
IceHockeyLeague	304
Brewery	292
Rower	279
BaseballSeason	275
PlayboyPlaymate	274
RaceTrack	269
NetballPlayer	263
CricketGround	260
Archaea	253
Vein	241
AnimangaCharacter	227
Cycad	227
Ligament	225
BeachVolleyballPlayer	217
CanadianFootballTeam	217
NationalCollegiateAthleticAssociationAthlete	193
FormulaOneTeam	189
Embryology	188
RailwayTunnel	182
Constellation	160
AmericanFootballLeague	158
Valley	155
Guitarist	147
Instrumentalist	147
VolleyballLeague	133
Sea	131
ClubMoss	118
SpeedwayTeam	112
AcademicConference	111
WaterRide	107
LaunchPad	103
Murderer	99
Tunnel	93
Spacecraft	92
College	89
Lymph	87
Chancellor	81
ConcentrationCamp	80
VolleyballCoach	76
ComedyGroup	75
YearInSpaceflight	60
TelevisionHost	55
LacrosseLeague	55
Continent	53
HandballLeague	39
AmericanFootballTeam	36
Gnetophytes	36
BaseballTeam	35
SnookerWorldRanking	34
PoloLeague	32
SpaceStation	32
SoftballLeague	28
SnookerChamp	28
FieldHockeyLeague	28
Novel	27
WaterwayTunnel	24
SpaceShuttle	22
InlineHockeyLeague	21
GolfLeague	20
MotorcycleRacingLeague	19
TennisLeague	19
SpeedwayLeague	18
Project	11
ResearchProject	11
CricketLeague	10
Bay	9
NationalFootballLeagueEvent	9
CanadianFootballLeague	7
Ginkgo	7
AutoRacingLeague	6
AustralianFootballLeague	5
Skyscraper	5
Gene	4
GeneLocation	4
VideogamesLeague	3
Farmer	3
CurlingLeague	3
Lawyer	2
Priest	2
HumanGeneLocation	2
HumanGene	2
MouseGeneLocation	2
MouseGene	2
ChemicalElement	1
BoxingLeague	1
Singer	1
BowlingLeague	1
MixedMartialArtsLeague	1
Arrondissement	0
GovernmentalAdministrativeRegion	0
Parish	0
Province	0
HistoricalProvince	0
HistoricalSettlement	0
cidoccrm:E4_Period	0
CityDistrict	0
Prefecture	0
HistoricalAreaOfAuthority	0
rdf:Property	0
Regency	0
Deanery	0
skos:Concept	0
d0:Activity	0
OverseasDepartment	0
FormerMunicipality	0
SubMunicipality	0
Department	0
District	0
