,threshold,accuracy_baseline,percentage_predicted_baseline,avg_lvl_prediction_baseline,accuracy_hierarchy_approach,percentage_predicted_hierarchy_approach,avg_lvl_prediction_hierarchy_approach
0,0.0,0.3058089294287086,1.0,3.228302309934963,0.0,1.0,
1,0.05,0.30594249639744736,0.9994513407859544,3.228215767634855,0.34037445991358617,1.0,3.4419705823090867
2,0.1,0.3193774262598411,0.9451683697963102,3.2287856412586624,0.38457581784514094,1.0,3.2887204636647347
3,0.15,0.35727772056299345,0.7991221452575269,3.23024261349988,0.4189698923256293,1.0,3.1233426092650185
4,0.2,0.40557076155208505,0.6389479459570674,3.236204843191743,0.4599814744931216,0.999554214388588,2.9165423627684963
5,0.25,0.4548768140398245,0.508024141005418,3.235198100608399,0.5042234097569385,0.9946162814621768,2.7035213675213674
6,0.3,0.5069607514256961,0.40888827926754,3.2344086021505376,0.5557574698584659,0.9812427131198136,2.5053134628686413
7,0.35,0.5536489559644407,0.3317330772923668,3.221433905899925,0.609623759548797,0.9606337013922228,2.326326267712847
8,0.4,0.5868361439718097,0.2724778821754338,3.2073772249624706,0.6544758821148681,0.9320005486592141,2.183719361367214
9,0.45,0.6138553295610949,0.22423016254029213,3.176631788739412,0.6986934596577017,0.8976064741787257,2.058614467712833
10,0.5,0.6316392816201758,0.17948014539469173,3.1633393829401086,0.7368568344460881,0.8577258075577807,1.9603385600347243
11,0.55,0.6615693156179494,0.13678760030176254,3.1697612732095486,0.7753709198813057,0.8089294287085934,1.8691159586681976
12,0.6,0.6794956867949569,0.1033536794458542,3.1640625,0.8091409990064131,0.7592757698374597,1.7877874525563742
13,0.65,0.6749455337690632,0.07869830601467663,3.1904454486765657,0.8366493165345138,0.7049242164460601,1.7094598523169953
14,0.7,0.6607449856733524,0.059838145531856526,3.1890719861231567,0.8576548089591568,0.6506755366572937,1.6346319282290769
15,0.75,0.6570779712339136,0.045298676359646114,3.2016129032258065,0.8789969018530426,0.5866195734174611,1.5616146837800091
16,0.8,0.6783754116355654,0.03123928399972567,3.186084142394822,0.9009625813449024,0.5058637953501132,1.4746068768339478
17,0.85,0.676271186440678,0.020231808517934297,3.145363408521303,0.9179451214166741,0.39115972841368907,1.4051188998185464
18,0.9,0.6840490797546013,0.011178931486180646,2.9820627802690582,0.9351111111111112,0.2314656059255195,1.343789607097592
19,0.95,0.7358490566037735,0.0054523009395789045,2.8034188034188032,0.9557608167233836,0.0705370002057472,1.3545269582909463
