,threshold,accuracy_baseline,percentage_predicted_baseline,avg_lvl_prediction_baseline,accuracy_hierarchy_approach,percentage_predicted_hierarchy_approach,avg_lvl_prediction_hierarchy_approach
0,0.0,0.4498319731156985,1.0,3.2629211770086903,0.0,1.0,
1,0.05,0.4500634713692661,0.9994856319868322,3.2629211770086903,0.494581990261299,1.0,3.3841780489495945
2,0.1,0.4617510541048082,0.9678005623756945,3.2635819521178635,0.5350798984980454,1.0,3.300051268905409
3,0.15,0.4935613918352969,0.8761058912283108,3.2655035685963525,0.5657705232837253,1.0,3.2078913873568093
4,0.2,0.5395806976323875,0.7589328578286811,3.268966672249205,0.6010152980723057,0.9997256703929772,3.076817714872732
5,0.25,0.5897734490789752,0.6478293669844318,3.2780470292586608,0.6375601374570447,0.997873945545573,2.930092168382472
6,0.3,0.6374429794413548,0.5487620876483095,3.280168610920498,0.6761793022533559,0.9937247102393526,2.769788211278388
7,0.35,0.6782457991108432,0.4550785268500103,3.2658593489612264,0.7146491044672103,0.9840888827926754,2.606075381539812
8,0.4,0.7031335398068865,0.37644880323708935,3.210389946884312,0.7518908602530572,0.970235237638022,2.451067030177682
9,0.45,0.7196198993851314,0.30673479185241065,3.1388845735591118,0.7835252499729272,0.94996913791921,2.314244909241684
10,0.5,0.7364423717521652,0.25735546258829983,3.101501718834811,0.8165182246837811,0.9163294698580344,2.2146294513955733
11,0.55,0.7591836734693878,0.2100336053768603,3.112043010752688,0.8441649196366178,0.8832727522117825,2.1156181015452544
12,0.6,0.7577212020033389,0.16432343460667992,3.1908565133572018,0.8689249492900608,0.8452781016391194,2.01475325645455
13,0.65,0.7555965235712404,0.13020368973321444,3.299407459044964,0.8893809077748446,0.8053631438172965,1.8958253542703944
14,0.7,0.7499167499167501,0.1029764762361978,3.3263765541740677,0.9084911202494464,0.7588299842260476,1.7929765220851572
15,0.75,0.7170596393897365,0.07417186749879981,3.2353320438426816,0.9263965593079516,0.7016322611617859,1.6649960432603534
16,0.8,0.681785457163427,0.047630478019340235,3.059134107708553,0.9425319113665248,0.6205678622865373,1.4911766430204607
17,0.85,0.6475138121546962,0.031033536794458538,2.8276450511945392,0.9599590023915272,0.5018517248474041,1.3539753719125915
18,0.9,0.5718232044198895,0.012413414717783415,2.681159420289855,0.9715438046157292,0.3060832590357314,1.242619926199262
19,0.95,0.5764705882352941,0.0029147520746176533,2.5306122448979598,0.976884975233902,0.06230711199506207,1.2749295774647886
