,threshold,accuracy_baseline,percentage_predicted_baseline,avg_lvl_prediction_baseline,accuracy_hierarchy_approach,percentage_predicted_hierarchy_approach,avg_lvl_prediction_hierarchy_approach
0,0.0,0.2877031753652013,1.0,3.2536352800953514,0.0,1.0,
1,0.05,0.2898405340897298,0.9913243261779028,3.2536102160162312,0.3130100816130581,1.0,3.4980280455740584
2,0.1,0.325,0.8380769494547701,3.257962986277225,0.3715794527124339,1.0,3.2548911037283133
3,0.15,0.38958140547602205,0.6299636513270694,3.2621210004191696,0.4238880696821097,0.9999657087991222,2.9841436776959798
4,0.2,0.4540778839088905,0.466703243947603,3.2605177993527508,0.48410900604063706,0.9991084287771758,2.6708968450903936
5,0.25,0.5237020316027088,0.34939304574446195,3.265929535232384,0.5467653394482663,0.9869693436664152,2.409099574251764
6,0.3,0.5904493662783254,0.2678485700569234,3.2632263660017347,0.6034932598927379,0.9462999794252794,2.2314759217004925
7,0.35,0.6384640957446809,0.20629586448117407,3.2590471231450144,0.6612343040341971,0.8984637542006721,2.069033189033189
8,0.4,0.6812616725461714,0.165249297030382,3.2455071580871158,0.7145371924509764,0.8376311638433578,1.9517589091325769
9,0.45,0.7239119035133718,0.13078664014813798,3.2535313292285406,0.7558895921237694,0.7801934023729511,1.8544016746133272
10,0.5,0.7524084778420038,0.10678279953363967,3.2731540759709774,0.7918895682078716,0.7179205815787669,1.790759394414621
11,0.55,0.7707828894269573,0.08497359577532405,3.2774869109947633,0.8220396988364134,0.6512927782730952,1.735797092166784
12,0.6,0.7859684799186578,0.06745079212674028,3.3130659767141006,0.8466585380015096,0.5905973527192923,1.6840625428610616
13,0.65,0.7989276139410187,0.051162471709759266,3.3498322147651005,0.8680726800778715,0.5284274055277416,1.6285415265007102
14,0.7,0.8099824868651488,0.03916055140251012,3.3686486486486484,0.8826057453064917,0.4548041972429874,1.5957628566547069
15,0.75,0.8226002430133658,0.02822165832247445,3.3781388478581977,0.8985402775274824,0.3805637473424319,1.5668872843963098
16,0.8,0.8224852071005917,0.017385638845072354,3.3525179856115113,0.9164749194661758,0.29805911803031343,1.5256088375596284
17,0.85,0.8172413793103448,0.009944448254577876,3.345991561181435,0.9341788409054422,0.2135998902681572,1.4765423612304518
18,0.9,0.8113207547169812,0.0054523009395789045,3.317829457364341,0.9400376445280988,0.12752897606474178,1.4347826086956519
19,0.95,0.8372093023255814,0.0014745216377477538,3.6666666666666665,0.967445152158528,0.04845346684040875,1.3774689100219462
