,threshold,accuracy_baseline,percentage_predicted_baseline,avg_lvl_prediction_baseline,accuracy_hierarchy_approach,percentage_predicted_hierarchy_approach,avg_lvl_prediction_hierarchy_approach
0,0.0,0.35909745559289485,1.0,3.249140565317036,0.0,1.0,
1,0.05,0.3591616930781368,0.9997256703929772,3.2491643587049945,0.4155064810369659,1.0,3.4269208549971117
2,0.1,0.36948863029785417,0.9636170358685962,3.2498314552634118,0.4583361909334065,1.0,3.2977704623672004
3,0.15,0.4048982575849884,0.8442836568136616,3.2504764770789447,0.4933817982305741,1.0,3.161940505977203
4,0.2,0.4548371414681575,0.705370002057472,3.2550235143223603,0.5379864113650401,0.9993141759824428,2.9697027682102317
5,0.25,0.5051270100209742,0.5885741718674988,3.2664359861591694,0.5748812372134956,0.9889239421164531,2.8121720248507147
6,0.3,0.5591006423982869,0.480419724298745,3.2655432146048766,0.6238618854181258,0.97921953226802,2.617457198989616
7,0.35,0.6107857704746089,0.3923256292435361,3.2518603319977104,0.6704675028506272,0.9623482614361156,2.4497236394557818
8,0.4,0.6527910179006461,0.32374322748782663,3.232516631510628,0.7120107863858319,0.94101913449009,2.303905010491837
9,0.45,0.6851080447800052,0.2634250051436801,3.1989359680790423,0.7491380602608304,0.9150264042246758,2.17743871935968
10,0.5,0.7028543938422065,0.21383992867430215,3.1829796942733286,0.7841990329121822,0.8793635553117071,2.0717056190949776
11,0.55,0.7237669981733307,0.1689527467251903,3.1974200785193494,0.8141002157365572,0.8424319319662574,1.9735
12,0.6,0.72265625,0.13167821137096222,3.2324324324324323,0.8370901639344263,0.8032370893628695,1.8796919624643005
13,0.65,0.7343124165554072,0.1027364378300528,3.2622727272727268,0.8589766687685794,0.761333241890131,1.7965497352000421
14,0.7,0.7300613496932515,0.07825252040326452,3.2989195678271312,0.8816605309048634,0.7079075509224333,1.7101807592989395
15,0.75,0.703030303030303,0.056580481448460326,3.2974137931034484,0.9001536912395993,0.6470406693642411,1.6187224021195172
16,0.8,0.7006980802792321,0.03929771620602154,3.286425902864259,0.9160411622276028,0.5664906385021603,1.5256062908874646
17,0.85,0.7142857142857143,0.024483917426788286,3.2490196078431373,0.9323010173548774,0.4584047733351622,1.421487603305785
18,0.9,0.6983695652173914,0.012619161923050546,3.1789883268482484,0.9435364041604756,0.30001371648035113,1.3327680193821927
19,0.95,0.6953125,0.004389273712365407,3.1797752808988764,0.9528406981062012,0.09234620396406283,1.333593141075604
