,ckpt_num,baseline_accuracy
0,0,0.00202318085179343
1,400,0.013133529936218366
2,800,0.07790960839448598
3,1200,0.12241958713394142
4,1600,0.13099238735340513
5,2000,0.15485906316439202
6,2400,0.15407036554420134
7,2800,0.1630546601741993
8,3200,0.18390371030793493
9,3600,0.19467114738358132
10,4000,0.1974487346546876
11,4400,0.19573417461079487
12,4800,0.21720046636033194
13,5200,0.2150401207050271
14,5600,0.22302997050956724
15,6000,0.22426445374117002
16,6400,0.2212468280639188
17,6800,0.2429874494204787
18,7200,0.2305740347026953
19,7600,0.2477882175433784
20,8000,0.2443590974555929
21,8400,0.2457993278924628
22,8800,0.2520060352513545
23,9200,0.2499828543995611
24,9600,0.2513545024346753
25,10000,0.2581441602084905
26,10400,0.2590357314313147
27,10800,0.26709416363761057
28,11200,0.25636101776284204
29,11600,0.26832864686921337
30,12000,0.265585350798985
31,12400,0.27007749811398396
32,12800,0.2743638982237158
33,13200,0.2666140868253206
34,13600,0.273129414992113
35,14000,0.2663740484191756
36,14400,0.2796447431589054
37,14800,0.27556409025444073
38,15200,0.27847884232905834
39,15600,0.279027501543104
40,16000,0.27484397503600577
41,16400,0.28067347918524105
42,16575,0.2874974281599342
43,16975,0.27614704066936424
44,17375,0.27926753994924897
45,17775,0.2851313352993622
46,18175,0.28756601056168984
47,18575,0.2878746313695906
48,18975,0.2787874631369591
49,19375,0.28605719772306426
50,19775,0.2873945545573006
51,20175,0.2823194568273781
52,20575,0.2908922570468418
53,20975,0.2782730951237912
54,21375,0.2895891914134833
55,21775,0.29024072423016256
56,22175,0.2866744393388657
57,22575,0.29154378986352103
58,22975,0.29075509224333035
59,23375,0.2871202249502778
60,23775,0.2833824840545916
61,24175,0.2966531787943214
62,24575,0.30069954049790826
63,24975,0.28777175776695696
64,25375,0.2957273163706193
65,25775,0.28303957204581304
66,26175,0.2932240587065359
67,26575,0.2928811466977573
68,26975,0.2966531787943214
69,27375,0.2946642891434058
70,27775,0.2891091146011933
71,28175,0.29216103147932243
72,28575,0.2896234826143612
73,28975,0.2914409162608875
74,29375,0.3058089294287086
75,29775,0.2920581578766888
76,30175,0.2950072011521844
77,30575,0.2903435978327961
78,30975,0.3010424525066868
79,31375,0.3017625677251217
80,31775,0.2935669707153145
81,32175,0.3038543309786709
82,32575,0.2879775049722241
83,32975,0.30395720458130443
84,33150,0.2958644811741307
