,ckpt_num,baseline_accuracy
0,0,0.2774843975036006
1,400,0.3237775186887045
2,800,0.3338934229476716
3,1200,0.3487415129277827
4,1600,0.33817982305740346
5,2000,0.3496673753514848
6,2400,0.3506618201769426
7,2800,0.3509361497839654
8,3200,0.35371373705507164
9,3600,0.35374802825594953
10,4000,0.3527878746313696
11,4400,0.3482271449146149
12,4800,0.3568685275358343
13,5200,0.3536794458541938
14,5600,0.35518825869281945
15,6000,0.35909745559289485
16,6400,0.3469583704821343
17,6800,0.3552225498936973
18,7200,0.34887867773129416
19,7600,0.3458610520540429
20,8000,0.3535079898498045
21,8400,0.34750702969618
22,8800,0.35319936904190385
23,9200,0.34205472875660103
24,9600,0.3482614361154928
25,10000,0.34599821685755433
26,10400,0.3443522392154173
27,10800,0.3466154584733557
28,11200,0.34253480556889104
29,11600,0.3438721624031273
30,12000,0.3441807832110281
31,12400,0.33955147109251765
32,12800,0.3414717783416775
33,13200,0.3378026198477471
34,13600,0.33893422947671625
35,14000,0.3370139222275564
36,14400,0.3333790549345038
37,14800,0.3418832727522118
38,15200,0.3341334613538166
39,15600,0.3298127700432069
40,16000,0.3303957204581304
41,16400,0.3319045332967561
42,16575,0.3392085590837391
