,ckpt_num,baseline_accuracy
0,0,0.010527398669501406
1,400,0.32079418421233113
2,800,0.3500445785611412
3,1200,0.3674302174062136
4,1600,0.3695905630615184
5,2000,0.38076949454769904
6,2400,0.3784719840888828
7,2800,0.3848158562512859
8,3200,0.3821754337836911
9,3600,0.3891365475618957
10,4000,0.3929085796584597
11,4400,0.3929085796584597
12,4800,0.3988752486112064
13,5200,0.3922913380426583
14,5600,0.3983265893971607
15,6000,0.3836842466223167
16,6400,0.4015156710788012
17,6800,0.4060078183938001
18,7200,0.3914340580207119
19,7600,0.4000068582401756
20,8000,0.3962691173444894
21,8400,0.3981894245936493
22,8800,0.390473904396132
23,9200,0.3976407653796036
24,9600,0.4035388519305946
25,10000,0.3988752486112064
26,10400,0.3988752486112064
27,10800,0.3940058980865511
28,11200,0.39719497976819146
29,11600,0.39352582127426095
30,12000,0.3947945957067416
31,12400,0.39722927096906935
32,12800,0.3944173924970853
33,13200,0.3954461285234209
34,13600,0.3902681571908648
35,14000,0.3957890405321994
36,14400,0.3827240929977368
37,14800,0.3902338659899871
38,15200,0.3931143268637268
39,15572,0.3876620259241479
